A,B,C,D
1,39,37.1,530.14
2,16,38.23,208.12
3,5,39.11,54.37
4,8,40.28,96.3
5,31,41.29,418.31
6,3,42.2,26.33
7,16,43.26,208.03
8,23,44.07,306.11
9,13,45.24,166.21
10,11,46.3,138.37
11,2,47.21,12.09
12,19,48.29,250.27
13,25,49.26,334
14,24,50.34,320.22
15,8,51.25,96.05
16,34,52.29,460.27
17,29,53.37,390.07
18,26,54.12,348.16
19,0,55.25,-15.66
20,15,56.36,194.19
21,6,57.31,68.34
22,18,58.1,236.26
23,39,59.27,530.14
24,1,60.03,-1.97
25,18,61.11,236.3
26,17,62.05,222.13
27,39,63.26,530.13
28,8,64.13,96.19
29,19,65.13,250.07
30,7,66.2,82.37
31,20,67.27,264.3
32,17,68.37,222.34
33,5,69.36,54.23
34,13,70.29,166.2
35,18,71.07,236.34
36,3,72.17,26.33
37,18,73.16,236.22
38,25,74.16,334.37
39,7,75.27,82.04
40,8,76.35,96.26
41,39,77.15,530.07
42,32,78.32,432.06
43,20,79.29,264.04
44,38,80.03,516.28
45,20,81.13,264.29
46,8,82.16,96.08
47,4,83.35,40.26
48,20,84.12,264.37
49,11,85.11,138.26
50,9,86.19,110.15
51,29,87.19,390.25
52,39,88.03,530.19
53,7,89.23,82.03
54,6,90.13,68
55,28,91.34,376.15
56,19,92.02,250.34
57,30,92.98,404.23
58,10,94.18,124.37
59,1,95.21,-1.89
60,30,96.3,404.24
61,39,97.2,530.37
62,26,98.19,348.02
63,0,99.18,-15.8
64,5,100.16,54.35
65,7,101.04,82.23
66,24,102.24,320.28
67,12,103.06,152.28
68,37,104.08,502.01
69,29,105.1,390.24
70,34,106,460.09
71,20,107.31,264.31
72,20,108.18,264.04
73,16,109.18,208.24
74,30,110.15,404.03
75,28,111.22,376.01
76,13,113,165.98
77,21,113.33,278.11
78,29,114.16,390.08
79,0,115.11,-15.63
80,12,116.29,152.31
81,6,117,68.04
82,39,118.33,530.16
83,11,119.31,138.24
84,31,120.18,418.15
85,8,121.15,96.35
86,24,122.1,320.08
87,25,123.32,334.36
88,38,124.21,516.14
89,0,125.13,-15.81
90,32,126.17,432.1
91,17,127.23,222.13
92,15,128.15,194
93,33,129.26,446.34
94,20,130.1,264.06
95,37,131.18,502.15
96,34,132.03,460.27
97,36,133.2,488.21
98,26,134.1,348.37
99,2,135.02,12.12
100,23,136.26,306.32
