A,B,C,D,E,F
<<<<<<< HEAD
1,9.2,32,610.31,-20.6142,-4.00699
30,67.41,0,34.26,-17.0896,-59.5982
30,67.3,15,304.18,-21.555,-14.539
30,67.41,22,430.41,22.3988,48.0343
37,81.33,20,394.43,-17.2017,-44.8118
14,35.43,37,700.43,8.91774,8.02956
22,50.99,33,628.19,-36.0346,-57.6672
24,55.51,16,322.36,22.3706,50.245
38,83.54,7,160.09,21.0387,6.43217
3,13.48,21,412.32,-22.7762,-3.20098
29,65.48,31,592.03,-89.8796,-14.2355
15,37.4,38,718.46,-66.4681,-66.468
24,55.19,36,682.38,0.956305,0.292371
4,15.08,9,196.28,-43.5718,-6.12361
35,77.48,26,502.13,5.70634,1.8541
2,11.32,26,502.3,6.10314,11.4783
17,40.98,11,232.45,-14.9227,-10.0655
30,67.03,31,592.44,20.0865,33.4295
19,45.2,7,159.97,3.17952,5.08829
16,39.11,34,645.99,-40.1504,-57.3406
18,43.21,27,520.33,29.2194,72.3203
24,55.04,14,286.32,51.3469,19.7102
4,15.43,34,646.24,72.1012,11.4197
31,69.21,29,556.35,14.7281,6.25169
22,51.49,22,430.05,-47.8986,-79.7165
29,65.42,29,556.45,30.147,13.4223
21,49.54,18,358.44,3.49848,1.93924
35,77.45,32,609.99,-4.24024,-2.64959
28,63.35,21,412.54,14.4168,9.00862
17,41.16,22,430.28,-0.275638,-0.961261
28,63.05,6,142.26,-4.82209,-9.88673
8,22.99,17,340.43,39.1435,58.0326
32,71.34,22,430.21,-37.4554,-16.6762
21,49.24,28,538.51,27.4964,24.7578
12,31.43,28,538.11,17.8399,33.552
15,37.55,8,178.18,8.34349,25.6785
0,7.32,39,736.26,50.9469,14.6088
3,13.23,31,592.54,-53.3747,-82.1897
38,83.41,10,214.55,-8.29038,-5.59192
35,77.39,5,124.2,-10.3923,-6
31,69.32,13,268.36,55.5826,6.82468
8,23.46,27,520.16,-28.5317,-9.2705
33,73.3,39,736.01,28.5317,9.2705
18,42.98,9,196.45,27.5772,27.5771
39,85.32,34,646.54,47.5528,15.4508
4,15.1,10,214.15,-29.6657,-91.3014
30,67.09,28,538.47,-93.5395,-21.5953
23,53.14,4,106.31,-6.53506,-2.50857
7,21.48,7,160.34,66.7572,26.9717
29,65.2,34,646.4,-77.7146,-62.932
18,43.22,38,718.26,70.9139,24.4176
28,63.14,7,160.13,63.7208,20.7041
26,58.99,32,610.27,-10.9447,-30.0702
37,81.05,28,538.53,-21.995,-6.72454
23,53.23,36,682.46,46.0373,40.0196
26,59.17,33,628.53,-49.6929,-11.4725
10,27.14,38,718.46,-70.5988,-63.5674
12,31.28,12,250.41,67.0668,31.2737
1,9,20,394.39,-16.8139,-58.6369
14,35.32,35,664.47,-46.7903,-59.8888
39,85.07,9,196.01,-33.1286,-7.64833
25,57.46,7,160,-48.1831,-39.0178
20,47.48,27,520.09,-52.7097,-5.54
25,57.46,4,106.54,-52.075,-45.268
7,21.54,11,232.11,58.6889,12.4747
23,53.56,30,574.09,73.622,14.3107
2,11.17,37,700.06,-27.9243,-24.2742
