A,B,C,D,E,F
23,61.03,29,404.17,-7.4565,-10.649
37,117.18,4,29.54,7.94037,0.974954
31,93.31,34,479.02,-74.6037,-14.5015
10,9.5,6,59.3,7.60845,2.47213
21,53.29,34,479.04,2.15802,2.08397
34,105.03,5,44.32,-21.0387,-6.43217
27,77.13,25,344.49,66.0574,53.4922
4,-14.75,20,269.07,30.8082,11.8261
27,77.2,9,104.5,19.8813,65.0287
8,1.06,2,-0.8,-1.36808,-3.75877
22,57.19,24,329.24,69.4985,35.4112
32,97.14,10,119.54,-35.5,-61.4878
23,61.23,35,494.33,16.3437,32.0762
24,65.52,31,434.43,78.594,19.5957
24,65.06,20,269.35,57.8975,71.4974
35,109.51,31,434.16,84.4867,41.2069
34,105.35,38,539.33,46.1269,29.9551
32,97.28,14,179.36,53.9193,83.0283
28,81.4,10,119.28,-20.7436,-46.5908
3,-18.78,20,269.2,59.2006,21.5473
12,17.56,11,134,25.9808,15
4,-14.99,23,313.99,49.3501,35.8549
30,89.02,14,179.53,-84.763,-45.0692
19,45.01,36,509.06,-59.7492,-22.9355
12,17.56,23,314.21,-4.45887,-4.01478
29,85.43,18,239.38,40.4052,79.2995
38,121.1,33,464.39,13.7147,8.2406
25,69.55,3,14.36,31.9741,14.2358
12,17.23,24,329.37,-9.19239,-9.19238
38,121.36,11,134.39,-95.5264,-16.8439
9,5.1,12,149.04,85.5289,8.98944
7,-2.99,27,374.29,8.89255,24.432
18,41,33,464.18,-77.7032,-6.79814
13,21.23,18,239.14,5.36231,4.49951
17,37.02,36,509.17,-5.49405,-11.782
5,-10.95,25,344.34,6.18063,3.2863
11,13.52,27,374.15,6.53506,2.50857
5,-10.85,9,104.15,-58.3893,-67.1691
31,93.41,10,119.06,-12.0517,-37.0912
35,109.47,15,194.48,-61.3799,-65.8218
23,61.13,23,313.97,43.4667,11.6468
3,-18.67,37,524.4,-45.559,-58.3128
9,5.28,15,194.55,-66.8591,-40.1729
2,-22.9,3,14.42,-73.7505,-25.3943
2,-22.74,7,74.14,4.01723,12.3637
32,97.25,25,344.12,-8.89919,-6.46563
17,37.41,39,554.04,-71.6588,-13.929
